tweet;;;;;;;;;;;;;;;;;;;;;;;near;geo;source;user_rt_id;user_rt;retweet_id;reply_to;retweet_date;translate;trans_src;trans_dest
Keep Stay Safe guys  #JagaJarak #pakaimasker   https://t.co/q4R3LNc1YW  https://t.co/cU7NlzyKRr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
*Demi meraih simpati Dukungan apapun dilakukan,prokes pun dilanggar...*  Pak Satgas Covids,Walikota sekaligus Paslon walkot Kota #Depok!!!  Bapak tidak menjaga &amp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kegiatan rizieq shihab menghambat penanganan Covid-19  #bersatulawancovid19 #kawalcovid19 #indonesia #pakaimasker  https://t.co/oqGd6MUhHX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
Selamat Beraktivitas, jangan lupa tetep patuh 3M (mencuci tangan, pakai masker dan menjaga jarak). .  Jangan Pernah Lelah Pakai Masker yaa..!  .  #ProtokolKesehatan #PakaiMasker #CuciTangan #JagaJarak #JogoJawaTimur #JogoTulungagung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
@detikcom Tetap patuhi anjuran Pemerintah... #PakaiMasker #JauhiKerumunan #TetapDirumahSaja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[{'screen_name': 'detikcom', 'name': 'detikcom', 'id': '69183155'}];;;;
#PakaiMasker #JagaJarak #CuciTanganPakaiSabun sudah menjadi keseharian kita selama pandemi berlangsung.  Yakinlah, bahwa protokol kesehatan yang terdengar sederhana ini adalah jurus jitu mencegah penularan infeksi COVID-19.  Selalu yakin, selalu disiplin protokol kesehatan!  https://t.co/nXAhBOrCra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
Menjaga diri kita sendiri dan keluarga dari penyebaran Covid-19 dengan tetap 3M  #satgascovid19 #ingatpesanibu #imanamanimun #ingatpesanibupakaimasker #ingatpesanibujagajarak #ingatpesanibucucitangan #pakaimasker #jagajarak #cucitangan #cucitangandengansabun  https://t.co/y4WCKiKjRD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
Adab memakai masker yang benar.  #PakaiMasker #HindariKlasterPetamburan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
#PakaiMasker #JagaJarak #CuciTanganPakaiSabun adalah perilaku kunci minimalkan risiko tertular COVID-19. Disiplinkan diri, ingatkan orang lain. #PakaiMasker #JagaJarak dan #CuciTanganPakaiSabun. Ketika di tempat publik, hindari kerumunan. Lindungi diri, lindungi negeri.  https://t.co/gtQwVu0q1X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
Calon wali kota petahana Depok, Mohammad Idris, dinyatakan positif Covid-19.  Kalau sedekat itu dengan pihak yang terpapar Covid-19 tanpa masker, semoga saja MRS tidak tertular. Namun alangkah baiknya tes swab, agar ada kepastian status nya. #PakaiMasker #JagaJarak  https://t.co/YSsjLhqxyl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
*_Maskermu untuk melindungimu dan orang lain _* #pakaimasker  #prokesadalahprioritas  #Prokes  #bawaslutegasminimpelanggar  #IntruksiMendagri  #HindariKlasterPetamburan  #Depok  #infodepok  #PilkadaDepok #AyokeTPS #Jangangolput;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
@YRadianto *_Maskermu untuk melindungimu dan orang lain _* #pakaimasker  #prokesadalahprioritas  #Prokes  #bawaslutegasminimpelanggar  #IntruksiMendagri  #HindariKlasterPetamburan  #Depok  #infodepok  #PilkadaDepok #AyokeTPS #Jangangolput  https://t.co/K3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[{'screen_name': 'YRadianto', 'name': 'Aki Tulalit', 'id': '2542665199'}];;;;
*_Maskermu untuk Melindungimu dan Orang Lain_* #pakaimasker  #prokesadalahprioritas  #Prokes  #bawaslutegasminimpelanggar  #IntruksiMendagri  #HindariKlasterPetamburan  #Depok  #infodepok  #PilkadaDepok #AyokeTPS #Jangangolput  https://t.co/7VK8Fh01M0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
Stigma atau pandangan negatif masyarakat terhadap pasien COVID-19 menyebabkan sebagian masyarakat yang ingin dites menjadi enggan memeriksakan diri.   #ingatpesanibu #pakaimasker #jagajarak #cucitangan   https://t.co/cBSt3UE9EW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
#PakaiMasker #JagaJarak #CuciTanganPakaiSabun adalah perilaku kunci minimalkan risiko tertular COVID-19. Disiplinkan diri, ingatkan orang lain.  https://t.co/s8IbSyEsWT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
...stay safe everyone #mencucitangan #pakaimasker #JagaJarak #jagakesehatan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
Ingat pesan ibu, selalu pakai masker mu  #puncakbogor #wisatapuncak #sabtuceria #Bogor  #pakaimasker  https://t.co/i0Qy9NazX8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
Ruangan sempit, ramai dan tertutup tingkatkan risiko penularan COVID-19. Jika harus keluar rumah, #PakaiMasker #JagaJarak #CuciTanganPakaiSabun.  https://t.co/0LYW7lxsBo #PilkadaDilarangKonvoi  https://t.co/iZoiUHS2XF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
Jangan lupa 3 M ya lur. #jagajarak #pakaimasker #cucitangan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
Smoga kita semua bisa melewatinya #pakaimasker #jagajarak #mencucitangan #StayHealthy #staysafe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
Lindungi diri kita dari ancaman virus corona dengan selalu patuhi protokol kesehatan. #bidhumaspoldaaceh #poldaaceh #polripromoter #poldaacehcegahcorona #pakaimasker #adaptasikebiasaanbaru  https://t.co/h5UeSm976A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
Yuk pakai maskernya agar terhindar dari virus corona. #bidhumaspoldaaceh #poldaaceh #polripromoter #poldaacehcegahcorona #pakaimasker #adaptasikebiasaanbaru  https://t.co/QqhNM2ZA0G;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
@wisanggeni_084 Siang kanjeng... Jgn lupa ngopi sm 3em (makan, minum, mengudut) 😂🤣🤣  #pakaimasker;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[{'screen_name': 'wisanggeni_084', 'name': '🔥 WISANGGENI 🔥', 'id': '112953652'}];;;;
Double Masker? Satu untuk menutrisi, satu lagi melindungi dari Covid19. Apa bener sengaruh itu? #pakaimasker  https://t.co/J7IvXqtKhp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
Yup #ayopakaimasker dan jaga sehatmu ya, Sahabat Inisiator! ⁣⁣⁣ kamu selalu bawa masker berapa jika bepergian ke luar, Sahabat Inisiator?⁣⁣⁣ ⁣⁣⁣  https://t.co/4OTDKwKqns ⁣⁣⁣ #masker #pandemi #covid19 #pakaimasker #bersamalawancorona #fightcorona ⁣  https://t.co/dHAM7p88eM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
Kegiatan ceramah HRS menghambat penanganan Covid-19  karena banyak yang tidak menggunakan masker dan berkerumun #bersatulawancovid19 #kawalcovid19 #indonesia #pakaimasker  https://t.co/Y964kqmuws;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
Kegiatan ceramah HRS menghambat penanganan Covid-19 #bersatulawancovid19 #kawalcovid19 #indonesia #pakaimasker  https://t.co/bgXQFjocnP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
jangan lupa #pakaimasker;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
Gas poll obyek pariwisata, agar ekonomi terus berlari, pasca pandemi ekonomi makin terakselerasi. #JagaJarak #PakaiMasker  #HindariKerumunan  #Jokowi  #IndonesiaMaju  https://t.co/B82ruVtRdu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
Tegakkan aturan protokol kesehatan, agar pandemi Covid-19 segera berakhir.  #JagaJarak #PakaiMasker  #HindariKerumunan  #Jokowi  #IndonesiaMaju  https://t.co/ExX5LqW61Q;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
Perilaku kunci penting Untuk Cegah Covid-19  3 PERILAKU KUNCI PENTING  #Pakaimasker #Jagajarak #Cucitanganpakaisabun  https://t.co/XuwxgL0dje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
Penanganan Covid-19 semakin mengalami kemajuan pesat  #bersatulawancovid19 #kawalcovid19 #indonesia #pakaimasker  https://t.co/FLslCf3xBy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
Saudaraku jaga selalu kesehatan, jgn abai dgn Prokes, #CuciTanganPakaiSabun #pakaimasker #jagajarak  Beberapa ahli menyebutkan belum ada tanda-tanda covid hilang. Dan cerita temanku yang sdh sembuh bahwa kena Covid itu menyakitkan, jgn sampai kena covid kata temanku.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
"Liburan kemarin banyak orang² yg menghabiskan masa libur panjang pergi ke Jogja  Sebaiknya kalian semua yg liburan kesana pas pulang wajib di test Swab  ""Mengerikan Sekali"" 😷  #dirumahaja  #dirumahsaja #PakaiMasker";;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
vaksinnya belum ada yang penting patuhi penggunaan masker aja dulu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bagaimana perasaan kalean yang disiplin #PakaiMasker #JagaJarak dan harus bayar swab sendiri ? #BodoAmat  🍻  https://t.co/TmoBNc7JO5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
Indonesia kasus covid-19 melewati angka psikologis 500.000  Tapi  Jakarta sendiri kasus covid-19 itu 128.173  Artinya  Lebih dari 25% (seperempat) kasus di Indonesia ada di Jakarta  Sadis! warganya banyak yang kena pelanggaran penggunaan masker tuh #pakaimasker 😷 #JagaJarak 👤❌👤  https://t.co/dDwX3W3bzb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
kemana - mana pakai masker tapi tetep aja tuh banyak juga yang masih positif @AdeLorn @kucing_endut @cris_doank @sekarwangibhumi @mbek_X @abikyuu007 @rengganis2018 @Birinxqu @liewandie @SahabatSaber @BEBEK_GOOreng @Brunowicaksono @Klungsu01 @albertocung @defffend Aamiin. Trimakasiiihhhh.. Semoga berkah &amp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
banyak tuh orang orang yang udah pakai masker tapi kena corona juga @Ciyee_Ciyeeeeee @cris_doank @AdeLorn @sekarwangibhumi @mbek_X @abikyuu007 @rengganis2018 @Birinxqu @liewandie @SahabatSaber @BEBEK_GOOreng @Brunowicaksono @Klungsu01 @albertocung @defffend Sudah diterima maskernya mba 🙏🏻 Terima kasih banyak @Ciyee_;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[{'screen_name': 'cris_doank', 'name': '😈 Astaguna ♉', 'id': '344571793'}, {'screen_name': 'AdeLorn', 'name': 'Lorentius Ade', 'id': '1085811150'}, {'screen_name': 'sekarwangibhumi', 'name': '@sekarwangibhumi', 'id': '1291890126977548288'}, {'screen_name': 'mbek_X', 'name': 'mbek-X', 'id': '147236376'}, {'screen_name': 'abikyuu007', 'name': 'MAS____HA', 'id': '1311382476565090304'}, {'screen_name': 'rengganis2018', 'name': 'newmegapro', 'id': '73321814'}, {'screen_name': 'Birinxqu', 'name': 'Emin Sembiring', 'id': '59756415'}, {'screen_name': 'SahabatSaber', 'name': 'The Brave', 'id': '919616833002512385'}, {'screen_name': 'BEBEK_GOOreng', 'name': '𝒅𝒐𝒅𝒐', 'id': '1046981346478968832'}, {'screen_name': 'Brunowicaksono', 'name': 'Brunowicaksono', 'id': '1118312830313222144'}, {'screen_name': 'Klungsu01', 'name': 'Panji Anom', 'id': '1243479418804129792'}, {'screen_name': 'albertocung', 'name': 'NETWORK ARCHITECTURE', 'id': '786726608'}, {'screen_name': 'defffend', 'name': '𝕯𝖊𝖋𝖋', 'id': '154437788'}];;;;
pakai masker takut kena razia @Ciyee_Ciyeeeeee @Brunowicaksono @kucing_endut @cris_doank @AdeLorn @sekarwangibhumi @mbek_X @abikyuu007 @rengganis2018 @liewandie @SahabatSaber @BEBEK_GOOreng @Klungsu01 @albertocung @defffend Sama2, 🙏🙏  #StayHealthy #StaySafe #PakaiMasker;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[{'screen_name': 'Brunowicaksono', 'name': 'Brunowicaksono', 'id': '1118312830313222144'}, {'screen_name': 'kucing_endut', 'name': 'Yani', 'id': '60449034'}, {'screen_name': 'cris_doank', 'name': '😈 Astaguna ♉', 'id': '344571793'}, {'screen_name': 'AdeLorn', 'name': 'Lorentius Ade', 'id': '1085811150'}, {'screen_name': 'sekarwangibhumi', 'name': '@sekarwangibhumi', 'id': '1291890126977548288'}, {'screen_name': 'mbek_X', 'name': 'mbek-X', 'id': '147236376'}, {'screen_name': 'abikyuu007', 'name': 'MAS____HA', 'id': '1311382476565090304'}, {'screen_name': 'rengganis2018', 'name': 'newmegapro', 'id': '73321814'}, {'screen_name': 'liewandie', 'name': '£ieW4NDI - #PakaiMaskerYuk', 'id': '2181898327'}, {'screen_name': 'SahabatSaber', 'name': 'The Brave', 'id': '919616833002512385'}, {'screen_name': 'BEBEK_GOOreng', 'name': 'Tri Widodo', 'id': '1046981346478968832'}, {'screen_name': 'Klungsu01', 'name': 'Panji Anom', 'id': '1243479418804129792'}, {'screen_name': 'albertocung', 'name': 'NETWORK ARCHITECTURE', 'id': '786726608'}, {'screen_name': 'defffend', 'name': '𝕯𝖊𝖋𝖋', 'id': '154437788'}];;;;
kebanyakan orang pakai masker karena takut kena razia #raziamasker #pakaimasker  https://t.co/v7u1cocxIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
Kerumunan massa kedatangan Habib Rizieq menghambat penanganan Covid-19  #bersatulawancovid19 #kawalcovid19 #indonesia #pakaimasker  https://t.co/CUzLTQkTRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
Kerumunan massa kedatangan Habib Rizieq menghambat penanganan Covid-19  #bersatulawancovid19 #kawalcovid19 #indonesia #pakaimasker  https://t.co/Ibhzbw7Hv2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
Semua harus di berlakukan sama dengan peruntukan nya bukan seenak jidat, agar semua memiliki hak dan kedudukan yang sama #pakaiakalsehat #pakaimasker;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
Ruangan sempit, ramai dan tertutup tingkatkan risiko penularan COVID-19. Jika harus keluar rumah, #PakaiMasker #JagaJarak #CuciTanganPakaiSabun  #diktimengajardarirumah #diktidutaedukasiperubahanperilaku  https://t.co/q5Yba3Xc07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
Wajib memakai masker Wajib menjaga jarak dan menghindari kerumunan Wajib cuci tangan  #satgascovid19 #ingatpesanibupakaimasker #ingatpesanibujagajarak #ingatpesanibucucitangan #pakaimasker #jagajarak #jagajarakhindarikerumunan *#cucitangandengansabun*  #KemilauPesawaran  https://t.co/WDTU0FpL1F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
Pakai Masker, turunkan penularan Covid-19.  #Covid19 #PakaiMasker #BelaPersatuanBangsa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
Adaptasi kebiasaan baru merupakan salah satu cara untuk menekan angka penyebaran virus #COVID19.  Selalu ingat untuk terapkan kebiasaan baru berikut: #CuciTanganPakaiSabun, #PakaiMasker dan #JagaJarak  https://t.co/esn4ZJog2b;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
Yuuuk tetap patuhi aturan lalu lintas, dan selalu pakai masker dalam setiap kegiatan 🤘😁 Disiplin dimulai dari diri kita lho 👌  #JalinPersatuan  #pakaimasker  https://t.co/W83Kpul1Qt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
 tidak semua kalangan mau patuh untuk menggunakan masker@kemenparekraf.ri #diindonesiaaja #pakaimasker #cucitangan #jagajarak #belikreatiflokal #banggabuatanindonesia #thoughtfulindonesia #wonderfulindonesia #BersamaJagaIndonesia #erci #ertigaclubindonesia #ercidc #ercidepok #ercidepokchapter #rmksuzuki #7tahu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
#PAKAIMASKERMU  Jangan lupa pakai maskermu ya, Lur!  #semarangpemkot⁣⁣ #pemkotsemarang⁣⁣ #pemerintahkotasemarang⁣⁣ #bergerakbersama #semarang2020 #kotasemarang #infografis #3m #jagajarak #pakaimasker #cucitangan   Repost @semarangpemkot  https://t.co/ASpRyideGq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
menjaga kebesihan sekaligus merawat kulit tangan secara praktis #handgel #cucitangan #pakaimasker  #JagaJarak;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
Perlu kerjasama antar masyarakat untuk bisa meredakan pandemi covid-19 ini. Karna selain virus ini menyerang semuanya, dengan bersama-sama pencegahan penularan akan lebih ringan dilakukan. Yuk! Jaga diri mulai dari diri sendiri!  https://t.co/Ib5DJhGH2y #jagakesehatan #pakaimasker  https://t.co/G7C9WTd7oz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
Jakarta covid-19 kasus di seribu lima ratusan!!! 😱  #pakaimasker 😷 #jagajarak 👤❌👤  https://t.co/flUffejvOO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
Tren kasus di Indonesia terus menurun. Ayo tetap pertahankan, tetap patuhi protokol kesehatan dan 3M. #ProtokolKesehatan #PakaiMasker #Jagajarak #Cucitangan #IndonesiaBebasCovid  https://t.co/EnJ4d9rkQi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
Jakarta mencatat rekor baru kasus harian dengan 1.579 kasus pada tanggal 21 November.  Tren kematian harian juga sudah menunjukkan tanda2 inflection point dan akan naik lagi.  Stay safe, everyone.  #PakaiMasker #DiRumahAja #JagaJarak  https://t.co/1DtLKg3yyR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
Ingat Pandemi Corona masih belum selesai!! Jangan lupa untuk tetap melakukan 3S, Selalu pakai masker, Selalu cuci tangan, Selalu jaga jarak. Menjaga diri anda, berarti juga menjaga orang lain dari terkena virus. #3s #pakaimasker #cucitangan #jagajarak #tips #tipskesehatan  https://t.co/3j7BedLzhQ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
 @wahyufa_ C261 Sembari vaksin kita tunggu, #PakaiMasker #JagaJarak kita patuh.  https://t.co/xkLRLaWcpj;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[{'screen_name': 'maghfirzakir', 'name': 'maghfirzakir', 'id': '111267752'}, {'screen_name': 'wahyufa_', 'name': 'Wahyu.', 'id': '272355438'}];;;;
Ruangan sempit, ramai dan tertutup tingkatkan risiko penularan COVID-19. Jika harus keluar rumah. Mari saatnya hijaukan kembali bumi Handayani... 👊  #PakaiMasker #JagaJarak #CuciTanganPakaiSabun @KabarGunkid  https://t.co/LsU3pBaLQp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
Kegiatan HRS jadi penghambat penanganan Covid-19  #bersatulawancovid19 #kawalcovid19 #indonesia #pakaimasker  https://t.co/ivQn6DkKho;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
@irwan_dwi_a Digital activism menjadi salah satu alternatif yang tepat dalam melakukan kampanye sosial untuk membangkitkan kesadaran masyarakat seperti kampanye #pakaimasker  yang ditujukan untuk seluruh masyarakat yang sedang melakukan aktivitas diluar ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[{'screen_name': 'irwan_dwi_a', 'name': 'Irwan Dwi Arianto', 'id': '224971239'}];;;;
pakai masker Cuma karna takut kena denda @KawalCOVID19 #DiRumahAja #PakaiMasker;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[{'screen_name': 'KawalCOVID19', 'name': 'KawalCOVID19', 'id': '1233994338922684416'}];;;;
Tips liburan saat pandemi. Jangan lupa bawa barang-barang ini. -⠀ #ingatpesanibu awas kita udah pada patuh protokol terus cuma karna liburan pada nglanggar tetap pakai masker ya kawan  #satgascovid19 #ingatpesanibupakaimasker #ingatpesanibujagajarak #ingatpesanibucucitangan #pakaimasker #jagarak #jagajarakhindarikerumunan #cucitangan #cucitanganpakaisabun  https://t.co/74GA42zLIf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
itu acara HRS bikin orang - orang berkumpul ada juga yang ga pakai masker tuh. Digital activism menjadi salah satu alternatif yang tepat dalam melakukan kampanye sosial untuk membangkitkan kesadaran masyarakat seperti kampanye #pakaimasker yang ditujukan untuk seluruh masyarakat yang sedang melakukan aktivitas diluar tumah  #ASIGTA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
tetap pakai masker jangan banyak alasan lah. Buat yg sering buat alasan banyak kasus covid-19 karena banyak tes, apalagi boasting berkali lipat standar WHO silahkan baca ini   https://t.co/9xo80Oirvl   https://t.co/mST8ocIfYB  #pakaimasker😷 #jagajarak👤❌👤  https://t.co/jUX9uinw5m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;
